Mouse_ID,Experiment,RIN,Genotype,Sex,Age_months,RLIMS.ID,Seq.Run.ID,Lane.Number,Clusters,BAM_file_name
1,X253249,CRND8 ,7.4,+,F,20,1426605043,141119_SN730_0369_AC5PVWACXX,4,708,253249.FCC5PVWACXX_L4_ICCGTCC.snap.bam
2,X253250,CRND8 ,7.7,-,F,20,1426605176,141120_SN725_0445_BC5PJFACXX,3,750,253250.FCC5PJFACXX_L3_IAGTCAA.snap.bam
3,X253290,CRND8 ,7.7,+,F,20,1428904702,141125_SN7001166_0306_AC44LLACXX,2,916,253290.FCC44LLACXX_L2_ICTTGTA.snap.bam
4,X253291,CRND8 ,8.2,-,F,20,1426605181,141120_SN725_0445_BC5PJFACXX,4,778,253291.FCC5PJFACXX_L4_IGTGAAA.snap.bam
5,X256516,CRND8 ,7.2,+,F,20,1428903586,141121_D00190_0224_BC447VACXX,1,938,256516.FCC447VACXX_L1_IACAGTG.snap.bam
6,X256517,CRND8 ,7.6,-,F,20,1426605192,141120_SN725_0445_BC5PJFACXX,8,775,256517.FCC5PJFACXX_L8_IGTCCGC.snap.bam
7,X253261,CRND8 ,6.9,+,F,20,1426605066,141119_SN730_0370_BC5NBHACXX,3,694,253261.FCC5NBHACXX_L3_IATGTCA.snap.bam
8,X253259,CRND8 ,7.4,-,F,20,1426605197,141121_D00190_0223_AC5PVPACXX,2,1050,253259.FCC5PVPACXX_L2_IGCCAAT.snap.bam
9,X253254,CRND8 ,7.3,+,M,20,1426605177,141120_SN725_0445_BC5PJFACXX,3,750,253254.FCC5PJFACXX_L3_IAGTTCC.snap.bam
10,X253293,CRND8 ,7.2,+,M,20,1426605070,141119_SN730_0370_BC5NBHACXX,5,680,253293.FCC5NBHACXX_L5_ICGATGT.snap.bam
11,X253294,CRND8 ,7.7,-,M,20,1428904387,141121_D00190_0224_BC447VACXX,6,935,253294.FCC447VACXX_L6_ICAGATC.snap.bam
12,X256520,CRND8 ,7.3,+,F,20,1426605059,141119_SN730_0370_BC5NBHACXX,1,778,256520.FCC5NBHACXX_L1_ITGACCA.snap.bam
13,X253276,CRND8 ,7.2,+,M,20,1426605171,141120_SN725_0445_BC5PJFACXX,1,801,253276.FCC5PJFACXX_L1_ITGACCA.snap.bam
14,X135969,CRND8 ,7.1,-,F,12 ,1426605184,141120_SN725_0445_BC5PJFACXX,5,807,135969.FCC5PJFACXX_L5_IACAGTG.snap.bam
15,X135970,CRND8 ,8,-,F,12 ,1426605080,141119_SN730_0370_BC5NBHACXX,8,737,135970.FCC5NBHACXX_L8_IGTCCGC.snap.bam
16,X135990,CRND8 ,7.5,-,F,12 ,1428904568,141121_D00190_0224_BC447VACXX,7,948,135990.FCC447VACXX_L7_IATGTCA.snap.bam
17,X169486,CRND8 ,7.8,+,M,6 ,1428904890,141125_SN7001166_0306_AC44LLACXX,5,916,169486.FCC44LLACXX_L5_ITGACCA.snap.bam
18,X169488,CRND8 ,7.6,-,M,6 ,1426605040,141119_SN730_0369_AC5PVWACXX,3,768,169488.FCC5PVWACXX_L3_IAGTCAA.snap.bam
19,X135994,CRND8 ,7.4,-,M,12 ,1426605178,141120_SN725_0445_BC5PJFACXX,3,750,135994.FCC5PJFACXX_L3_IATGTCA.snap.bam
20,X135995,CRND8 ,7.8,-,M,12 ,1426605061,141119_SN730_0370_BC5NBHACXX,2,792,135995.FCC5NBHACXX_L2_IGCCAAT.snap.bam
21,X135996,CRND8 ,7.4,-,M,12 ,1428904711,141125_SN7001166_0306_AC44LLACXX,3,881,135996.FCC44LLACXX_L3_IAGTCAA.snap.bam
22,X211481,CRND8 ,6.8,+,M,6 ,1426605039,141119_SN730_0369_AC5PVWACXX,2,804,211481.FCC5PVWACXX_L2_ICTTGTA.snap.bam
23,X209403,CRND8 ,6.9,+,M,6 ,1428903977,141121_D00190_0224_BC447VACXX,5,948,209403.FCC447VACXX_L5_ICGATGT.snap.bam
24,X209404,CRND8 ,7.5,+,M,6 ,1428904661,141125_SN7001166_0306_AC44LLACXX,2,916,209404.FCC44LLACXX_L2_IGCCAAT.snap.bam
25,X209412,CRND8 ,7.1,+,M,6 ,1426605047,141119_SN730_0369_AC5PVWACXX,5,769,209412.FCC5PVWACXX_L5_ITGACCA.snap.bam
26,X168780,CRND8 ,7.5,+,F,6 ,1426605069,141119_SN730_0370_BC5NBHACXX,4,751,168780.FCC5NBHACXX_L4_IGTGAAA.snap.bam
27,X171320,CRND8 ,7.2,+,F,6 ,1428903759,141121_D00190_0224_BC447VACXX,4,946,171320.FCC447VACXX_L4_ICCGTCC.snap.bam
28,NTG_5.1,CRND8 ,8.4,-,F,6 ,1426605065,141119_SN730_0370_BC5NBHACXX,3,694,NTG_5-1.FCC5NBHACXX_L3_IAGTTCC.snap.bam
29,NTG_5.2,CRND8 ,8.4,-,F,6 ,1428904757,141125_SN7001166_0306_AC44LLACXX,3,881,NTG_5-2.FCC44LLACXX_L3_IATGTCA.snap.bam
30,NTG_5.3,CRND8 ,8.6,-,F,6 ,1428904570,141121_D00190_0224_BC447VACXX,8,919,NTG_5-3.FCC447VACXX_L8_IGTCCGC.snap.bam
31,NTG_5.4,CRND8 ,8.4,-,F,6 ,1428904916,141125_SN7001166_0306_AC44LLACXX,5,916,NTG_5-4.FCC44LLACXX_L5_IACAGTG.snap.bam
32,NTG_5.5,CRND8 ,8.3,-,F,6 ,1426605054,141119_SN730_0369_AC5PVWACXX,7,815,NTG_5-5.FCC5PVWACXX_L7_IATGTCA.snap.bam
33,X240622,CRND8 ,7.5,-,F,3 ,1428903696,141121_D00190_0224_BC447VACXX,2,970,240622.FCC447VACXX_L2_ICAGATC.snap.bam
34,X363459,CRND8 ,7.8,-,F,3 ,1426605038,141119_SN730_0369_AC5PVWACXX,2,804,363459.FCC5PVWACXX_L2_ICAGATC.snap.bam
35,X363458,CRND8 ,7.6,-,F,3 ,1428904585,141125_SN7001166_0306_AC44LLACXX,1,889,363458.FCC44LLACXX_L1_ICGATGT.snap.bam
36,X366592,CRND8 ,7.4,-,F,3 ,1426605048,141119_SN730_0369_AC5PVWACXX,5,769,366592.FCC5PVWACXX_L5_IACAGTG.snap.bam
37,X366591,CRND8 ,7.3,-,F,3 ,1426605073,141119_SN730_0370_BC5NBHACXX,6,769,366591.FCC5NBHACXX_L6_IGCCAAT.snap.bam
38,X357187,CRND8 ,7.8,-,F,3 ,1426605194,141121_D00190_0223_AC5PVPACXX,1,976,357187.FCC5PVPACXX_L1_ICGATGT.snap.bam
39,X366585,CRND8 ,7.7,-,M,3 ,1426605077,141119_SN730_0370_BC5NBHACXX,7,754,366585.FCC5NBHACXX_L7_IAGTTCC.snap.bam
40,X366584,CRND8 ,7.9,-,M,3 ,1426605186,141120_SN725_0445_BC5PJFACXX,6,765,366584.FCC5PJFACXX_L6_ICAGATC.snap.bam
41,X406505,CRND8 ,8.2,-,F,3 ,1428904933,141125_SN7001166_0306_AC44LLACXX,6,911,406505.FCC44LLACXX_L6_ICAGATC.snap.bam
42,X357201,CRND8 ,7.9,-,M,3 ,1426605067,141119_SN730_0370_BC5NBHACXX,4,751,357201.FCC5NBHACXX_L4_ICCGTCC.snap.bam
43,X357199,CRND8 ,7.8,-,M,3 ,1426605179,141120_SN725_0445_BC5PJFACXX,4,778,357199.FCC5PJFACXX_L4_ICCGTCC.snap.bam
44,X357174,CRND8 ,7.9,-,M,3 ,1428904673,141125_SN7001166_0306_AC44LLACXX,2,916,357174.FCC44LLACXX_L2_ICAGATC.snap.bam
45,X357147,CRND8 ,7.8,-,M,3 ,1428905109,141125_SN7001166_0306_AC44LLACXX,7,896,357147.FCC44LLACXX_L7_IATGTCA.snap.bam
46,X366597,CRND8 ,7.6,+,F,3 ,1426605170,141120_SN725_0445_BC5PJFACXX,1,801,366597.FCC5PJFACXX_L1_ICGATGT.snap.bam
47,X366596,CRND8 ,7.8,+,F,3 ,1426605182,141120_SN725_0445_BC5PJFACXX,5,807,366596.FCC5PJFACXX_L5_ICGATGT.snap.bam
48,X366595,CRND8 ,7.8,+,F,3 ,1428905110,141125_SN7001166_0306_AC44LLACXX,8,879,366595.FCC44LLACXX_L8_ICCGTCC.snap.bam
49,X366581,CRND8 ,7.9,+,F,3 ,1426605172,141120_SN725_0445_BC5PJFACXX,1,801,366581.FCC5PJFACXX_L1_IACAGTG.snap.bam
50,X366580,CRND8 ,7.7,+,F,3 ,1428903644,141121_D00190_0224_BC447VACXX,2,970,366580.FCC447VACXX_L2_IGCCAAT.snap.bam
51,X368433,CRND8,8,+,M,3 ,1426605199,141121_D00190_0223_AC5PVPACXX,3,1050,368433.FCC5PVPACXX_L3_IAGTCAA.snap.bam
52,X368432,CRND8,7.9,+,M,3 ,1426605076,141119_SN730_0370_BC5NBHACXX,7,754,368432.FCC5NBHACXX_L7_IAGTCAA.snap.bam
53,X368429,CRND8,7.8,+,M,3 ,1428904515,141121_D00190_0224_BC447VACXX,7,948,368429.FCC447VACXX_L7_IAGTCAA.snap.bam
54,X368129,CRND8,7.7,+,M,3 ,1426605189,141120_SN725_0445_BC5PJFACXX,7,799,368129.FCC5PJFACXX_L7_IAGTTCC.snap.bam
55,X368125,CRND8,8,+,M,3 ,1426605063,141119_SN730_0370_BC5NBHACXX,2,792,368125.FCC5NBHACXX_L2_ICTTGTA.snap.bam
56,X368124,CRND8,7.7,+,M,3 ,1428904927,141125_SN7001166_0306_AC44LLACXX,6,911,368124.FCC44LLACXX_L6_IGCCAAT.snap.bam
57,X338672,CRND8 ,7.8,-,M,6 ,Â 1428903392,141121_D00190_0224_BC447VACXX,1,938,338672.FCC447VACXX_L1_ICGATGT.snap.bam
58,X338670,CRND8 ,7.9,-,M,6 ,1426605190,141120_SN725_0445_BC5PJFACXX,7,799,338670.FCC5PJFACXX_L7_IATGTCA.snap.bam
59,X338669,CRND8 ,7.7,-,M,6 ,1428904089,141121_D00190_0224_BC447VACXX,5,948,338669.FCC447VACXX_L5_ITGACCA.snap.bam
60,X338668,CRND8 ,8,-,M,6 ,1426605057,141119_SN730_0369_AC5PVWACXX,8,737,338668.FCC5PVWACXX_L8_IGTGAAA.snap.bam
61,X333937,CRND8 ,7.8,-,M,6 ,1428903758,141121_D00190_0224_BC447VACXX,3,929,333937.FCC447VACXX_L3_IATGTCA.snap.bam
62,X331160,CRND8 ,7.5,-,M,6 ,1426605035,141119_SN730_0369_AC5PVWACXX,1,769,331160.FCC5PVWACXX_L1_ITGACCA.snap.bam
63,X331173,CRND8 ,7.3,+,F,6 ,1428903712,141121_D00190_0224_BC447VACXX,3,929,331173.FCC447VACXX_L3_IAGTCAA.snap.bam
64,X331171,CRND8 ,7.3,+,F,6 ,1426605075,141119_SN730_0370_BC5NBHACXX,6,769,331171.FCC5NBHACXX_L6_ICTTGTA.snap.bam
65,X326669,CRND8 ,6.6,-,F,12,1426605174,141120_SN725_0445_BC5PJFACXX,2,845,326669.FCC5PJFACXX_L2_R1_ICAGATC.snap.bam
66,X171973,CRND8 ,7.1,-,F,12,1428903893,141121_D00190_0224_BC447VACXX,4,946,171973.FCC447VACXX_L4_IGTGAAA.snap.bam
67,X179318,CRND8 ,5.5,-,F,12,1426605045,141119_SN730_0369_AC5PVWACXX,4,708,179318.FCC5PVWACXX_L4_IGTGAAA.snap.bam
68,X181717,CRND8 ,8.6,-,M,12 ,1428904376,141121_D00190_0224_BC447VACXX,6,935,181717.FCC447VACXX_L6_IGCCAAT.snap.bam
69,X181718,CRND8 ,7,-,M,12 ,1428904638,141125_SN7001166_0306_AC44LLACXX,1,889,181718.FCC44LLACXX_L1_IACAGTG.snap.bam
70,X135980,CRND8,5.7,-,M,12 ,1426605187,141120_SN725_0445_BC5PJFACXX,6,765,135980.FCC5PJFACXX_L6_ICTTGTA.snap.bam
71,X172622,CRND8,6.2,+,F,12 ,1426605185,141120_SN725_0445_BC5PJFACXX,6,765,172622.FCC5PJFACXX_L6_IGCCAAT.snap.bam
72,X177181,CRND8,8,+,M,12 ,1426605173,141120_SN725_0445_BC5PJFACXX,2,845,177181.FCC5PJFACXX_L2_IGCCAAT.snap.bam
73,X178927,CRND8,7.2,+,F,12 ,1426605191,141120_SN725_0445_BC5PJFACXX,8,775,178927.FCC5PJFACXX_L8_ICCGTCC.snap.bam
74,X328685,CRND8 ,8.5,+,M,12 ,1428903774,141121_D00190_0224_BC447VACXX,4,946,328685.FCC447VACXX_L4_IGTCCGC.snap.bam
75,X326639,CRND8 ,7.2,+,F,12 ,1428904814,141125_SN7001166_0306_AC44LLACXX,4,860,326639.FCC44LLACXX_L4_IGTGAAA.snap.bam
76,X326642,CRND8 ,6.7,+,F,12 ,1426605050,141119_SN730_0369_AC5PVWACXX,6,682,326642.FCC5PVWACXX_L6_ICAGATC.snap.bam
77,X326643,CRND8,7.2,+,F,12 ,1426605042,141119_SN730_0369_AC5PVWACXX,3,768,326643.FCC5PVWACXX_L3_IATGTCA.snap.bam
78,X326644,CRND8 ,7.5,+,M,12 ,1428904571,141121_D00190_0224_BC447VACXX,8,919,326644.FCC447VACXX_L8_IGTGAAA.snap.bam
79,X326648,CRND8 ,6.5,+,M,12 ,1428905149,141125_SN7001166_0306_AC44LLACXX,8,879,326648.FCC44LLACXX_L8_IGTCCGC.snap.bam
80,X326653,CRND8,6.8,+,F,12 ,1426605053,141119_SN730_0369_AC5PVWACXX,7,815,326653.FCC5PVWACXX_L7_IAGTTCC.snap.bam
81,X326657,CRND8 ,7,+,M,12 ,1428904569,141121_D00190_0224_BC447VACXX,8,919,326657.FCC447VACXX_L8_ICCGTCC.snap.bam
82,X326660,CRND8 ,7.3,+,M,12 ,1428903495,141121_D00190_0224_BC447VACXX,1,938,326660.FCC447VACXX_L1_ITGACCA.snap.bam
83,X140644,CRND8,7,-,F,20,1426605051,141119_SN730_0369_AC5PVWACXX,6,682,140644.FCC5PVWACXX_L6_ICTTGTA.snap.bam
84,X140645,CRND8,7.1,-,F,20,1426605072,141119_SN730_0370_BC5NBHACXX,5,680,140645.FCC5NBHACXX_L5_IACAGTG.snap.bam
85,X140646,CRND8,7.5,-,F,20,1428905176,141125_SN7001166_0306_AC44LLACXX,8,879,140646.FCC44LLACXX_L8_IGTGAAA.snap.bam
86,X179324,PS1/APP,7.6,+,M,20,1426605044,141119_SN730_0369_AC5PVWACXX,4,708,179324.FCC5PVWACXX_L4_IGTCCGC.snap.bam
87,X179325,PS1/APP,7.1,+,M,20,1426605046,141119_SN730_0369_AC5PVWACXX,5,769,179325.FCC5PVWACXX_L5_ICGATGT.snap.bam
88,X181708,PS1/APP,7.7,+,F,20,1428904842,141125_SN7001166_0306_AC44LLACXX,5,916,181708.FCC44LLACXX_L5_ICGATGT.snap.bam
89,X181710,PS1/APP,7.6,+,F,20,1426605193,141121_D00190_0223_AC5PVPACXX,2,1082,181710.FCC5PVPACXX_L2_IGTGAAA.snap.bam
90,X184901,PS1/APP,7.4,+,M,20,1428904801,141125_SN7001166_0306_AC44LLACXX,4,860,184901.FCC44LLACXX_L4_ICCGTCC.snap.bam
91,X184903,PS1/APP,7.9,+,F,20,1426605183,141120_SN725_0445_BC5PJFACXX,5,807,184903.FCC5PJFACXX_L5_ITGACCA.snap.bam
92,X184904,PS1/APP,7.8,+,F,20,1426605188,141120_SN725_0445_BC5PJFACXX,7,799,184904.FCC5PJFACXX_L7_IAGTCAA.snap.bam
93,X184905,PS1/APP,7.1,+,F,20,1426605056,141119_SN730_0369_AC5PVWACXX,8,737,184905.FCC5PVWACXX_L8_IGTCCGC.snap.bam
94,X184906,PS1/APP,6.5,+,F,20,1426605071,141119_SN730_0370_BC5NBHACXX,5,680,184906.FCC5NBHACXX_L5_ITGACCA.snap.bam
95,X184907,PS1/APP,5.7,+,M,20,1428905106,141125_SN7001166_0306_AC44LLACXX,7,896,184907.FCC44LLACXX_L7_IAGTTCC.snap.bam
96,X184909,PS1/APP,6.1,+,M,20,1426605196,141121_D00190_0223_AC5PVPACXX,1,976,184909.FCC5PVPACXX_L1_IACAGTG.snap.bam
97,X184910,PS1/APP,7,+,M,20,1426605180,141120_SN725_0445_BC5PJFACXX,4,778,184910.FCC5PJFACXX_L4_IGTCCGC.snap.bam
98,X201594,PS1/APP,5.4,+,F,12,1426605049,141119_SN730_0369_AC5PVWACXX,6,682,201594.FCC5PVWACXX_L6_IGCCAAT.snap.bam
99,X201595,PS1/APP,4.8,+,F,12,1428904741,141125_SN7001166_0306_AC44LLACXX,3,881,201595.FCC44LLACXX_L3_IAGTTCC.snap.bam
100,X201596,PS1/APP,6.1,+,F,12,1428904516,141121_D00190_0224_BC447VACXX,7,948,201596.FCC447VACXX_L7_IAGTTCC.snap.bam
101,X201331,PS1/APP,6.4,+,F,12,1426605058,141119_SN730_0370_BC5NBHACXX,1,778,201331.FCC5NBHACXX_L1_ICGATGT.snap.bam
102,X181716,PS1/APP,7.5,+,M,12,1426605068,141119_SN730_0370_BC5NBHACXX,4,751,181716.FCC5NBHACXX_L4_IGTCCGC.snap.bam
103,X201337,PS1/APP,5.7,+,M,12,1428904813,141125_SN7001166_0306_AC44LLACXX,4,860,201337.FCC44LLACXX_L4_IGTCCGC.snap.bam
104,X204906,PS1/APP,5.8,+,M,12,1426605195,141121_D00190_0223_AC5PVPACXX,1,976,204906.FCC5PVPACXX_L1_ITGACCA.snap.bam
105,X204918,PS1/APP,7.3,+,M,12,1426605052,141119_SN730_0369_AC5PVWACXX,7,815,204918.FCC5PVWACXX_L7_IAGTCAA.snap.bam
106,X205272,PS1/APP,7.5,+,F,12,1426605074,141119_SN730_0370_BC5NBHACXX,6,769,205272.FCC5NBHACXX_L6_ICAGATC.snap.bam
107,X205277,PS1/APP,7.5,+,M,12,1426605198,141121_D00190_0223_AC5PVPACXX,2,1050,205277.FCC5PVPACXX_L2_ICAGATC.snap.bam
108,X205278,PS1/APP,7.7,+,M,12,1428903704,141121_D00190_0224_BC447VACXX,2,970,205278.FCC447VACXX_L2_ICTTGTA.snap.bam
109,X171974,PS1/APP,7.8,+,F,12,1426605064,141119_SN730_0370_BC5NBHACXX,3,694,171974.FCC5NBHACXX_L3_IAGTCAA.snap.bam
110,X368127,CRND8 ,6.7,+,F,6 ,1426605081,141119_SN730_0370_BC5NBHACXX,8,737,368127.FCC5NBHACXX_L8_IGTGAAA.snap.bam
111,X366601,CRND8 ,6.9,+,M,6 ,1428904981,141125_SN7001166_0306_AC44LLACXX,7,896,366601.FCC44LLACXX_L7_IAGTCAA.snap.bam
112,X363469,CRND8 ,6.4,+,M,6 ,1426605034,141119_SN730_0369_AC5PVWACXX,1,769,363469.FCC5PVWACXX_L1_ICGATGT.snap.bam
113,X160763,PS1/APP,8.3,+,F,9 ,1426605036,141119_SN730_0369_AC5PVWACXX,1,769,160763.FCC5PVWACXX_L1_IACAGTG.snap.bam
114,X142271,PS1/APP,7.9,+,F,9 ,1428903722,141121_D00190_0224_BC447VACXX,3,929,142271.FCC447VACXX_L3_IAGTTCC.snap.bam
115,X142273,PS1/APP,8.2,+,F,9 ,1426605037,141119_SN730_0369_AC5PVWACXX,2,804,142273.FCC5PVWACXX_L2_IGCCAAT.snap.bam
116,X142287,PS1/APP,8.1,+,M,9 ,1428904396,141121_D00190_0224_BC447VACXX,6,935,142287.FCC447VACXX_L6_ICTTGTA.snap.bam
117,X142277,PS1/APP,8,+,M,9 ,1428904624,141125_SN7001166_0306_AC44LLACXX,1,889,142277.FCC44LLACXX_L1_ITGACCA.snap.bam
118,X142278,PS1/APP,8.2,+,M,9 ,1428904934,141125_SN7001166_0306_AC44LLACXX,6,911,142278.FCC44LLACXX_L6_ICTTGTA.snap.bam
119,X160770,PS1/APP,8.1,-,M,9 ,1426605041,141119_SN730_0369_AC5PVWACXX,3,768,160770.FCC5PVWACXX_L3_IAGTTCC.snap.bam
120,X160767,PS1/APP,7.4,-,F,9 ,1426605055,141119_SN730_0369_AC5PVWACXX,8,737,160767.FCC5PVWACXX_L8_ICCGTCC.snap.bam
121,X160766,PS1/APP,8.1,-,F,9 ,1426605060,141119_SN730_0370_BC5NBHACXX,1,778,160766.FCC5NBHACXX_L1_IACAGTG.snap.bam
122,X160764,PS1/APP,8.3,-,F,9 ,1426605200,141121_D00190_0223_AC5PVPACXX,3,1082,160764.FCC5PVPACXX_L3_IAGTTCC.snap.bam
123,DRB_5,PS1/APP,8.2,+,F,9 ,1426605062,141119_SN730_0370_BC5NBHACXX,2,792,DRB_5.FCC5NBHACXX_L2_ICAGATC.snap.bam
124,DRB_11,PS1/APP,8.1,+,M,9 ,1426605079,141119_SN730_0370_BC5NBHACXX,8,737,DRB_11.FCC5NBHACXX_L8_ICCGTCC.snap.bam
125,DRB_12,PS1/APP,8.1,+,M,9 ,1426605078,141119_SN730_0370_BC5NBHACXX,7,754,DRB_12.FCC5NBHACXX_L7_IATGTCA.snap.bam
126,DRB_14,PS1/APP,7.9,+,F,9 ,1426605201,141121_D00190_0223_AC5PVPACXX,3,1082,DRB_14.FCC5PVPACXX_L3_IATGTCA.snap.bam
127,DRB_16,PS1/APP,8.1,+,M,9 ,1426605175,141120_SN725_0445_BC5PJFACXX,2,845,DRB_16.FCC5PJFACXX_L2_ICTTGTA.snap.bam
128,DRB_19,PS1/APP,7.9,+,F,9 ,1428904251,141121_D00190_0224_BC447VACXX,5,948,DRB_19.FCC447VACXX_L5_IACAGTG.snap.bam
